Drug 1,Drug 2,Interaction Description
Trioxsalen,Verteporfin,Trioxsalen may increase the photosensitizing activities of Verteporfin.
Aminolevulinic acid,Verteporfin,Aminolevulinic acid may increase the photosensitizing activities of Verteporfin.
Titanium dioxide,Verteporfin,Titanium dioxide may increase the photosensitizing activities of Verteporfin.
Tiaprofenic acid,Verteporfin,Tiaprofenic acid may increase the photosensitizing activities of Verteporfin.
Cyamemazine,Verteporfin,Cyamemazine may increase the photosensitizing activities of Verteporfin.
Temoporfin,Verteporfin,Temoporfin may increase the photosensitizing activities of Verteporfin.
Methoxsalen,Verteporfin,Methoxsalen may increase the photosensitizing activities of Verteporfin.
Hexaminolevulinate,Verteporfin,Hexaminolevulinate may increase the photosensitizing activities of Verteporfin.
Benzophenone,Verteporfin,Benzophenone may increase the photosensitizing activities of Verteporfin.
Riboflavin,Verteporfin,Riboflavin may increase the photosensitizing activities of Verteporfin.
Carprofen,Verteporfin,Carprofen may increase the photosensitizing activities of Verteporfin.
Cyclophosphamide,Verteporfin,Cyclophosphamide may increase the cardiotoxic activities of Verteporfin.
Paclitaxel,Verteporfin,The risk or severity of adverse effects can be increased when Paclitaxel is combined with Verteporfin.
Docetaxel,Verteporfin,The risk or severity of adverse effects can be increased when Docetaxel is combined with Verteporfin.
Cabazitaxel,Verteporfin,The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Verteporfin.
Aminolevulinic acid,Digoxin,Aminolevulinic acid may decrease the cardiotoxic activities of Digoxin.
Temoporfin,Digoxin,Temoporfin may decrease the cardiotoxic activities of Digoxin.
Cyclophosphamide,Digoxin,Cyclophosphamide may decrease the cardiotoxic activities of Digoxin.
Paclitaxel,Digoxin,Paclitaxel may decrease the cardiotoxic activities of Digoxin.
Docetaxel,Digoxin,Docetaxel may decrease the cardiotoxic activities of Digoxin.
Cabazitaxel,Digoxin,Cabazitaxel may decrease the cardiotoxic activities of Digoxin.
Sulpiride,Digoxin,The risk or severity of adverse effects can be increased when Sulpiride is combined with Digoxin.
Rifabutin,Digoxin,The metabolism of Digoxin can be increased when combined with Rifabutin.
Phenytoin,Digoxin,The metabolism of Digoxin can be increased when combined with Phenytoin.
Rifampicin,Digoxin,The metabolism of Digoxin can be increased when combined with Rifampicin.
Fosphenytoin,Digoxin,The metabolism of Digoxin can be increased when combined with Fosphenytoin.
Carbamazepine,Digoxin,The metabolism of Digoxin can be increased when combined with Carbamazepine.
Primidone,Digoxin,The metabolism of Digoxin can be increased when combined with Primidone.
Phenobarbital,Digoxin,The metabolism of Digoxin can be increased when combined with Phenobarbital.
Pentobarbital,Digoxin,The metabolism of Digoxin can be increased when combined with Pentobarbital.
Nevirapine,Digoxin,The metabolism of Digoxin can be increased when combined with Nevirapine.
Rifapentine,Digoxin,The metabolism of Digoxin can be increased when combined with Rifapentine.
Rifaximin,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Rifaximin.
Bosentan,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Bosentan.
Lumacaftor,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Lumacaftor.
Silodosin,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Silodosin.
Edoxaban,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Edoxaban.
Anagrelide,Digoxin,Anagrelide may decrease the cardiotoxic activities of Digoxin.
Carboplatin,Digoxin,Carboplatin may decrease the cardiotoxic activities of Digoxin.
Etacrynic acid,Digoxin,The risk or severity of adverse effects can be increased when Etacrynic acid is combined with Digoxin.
Pirlindole,Digoxin,Pirlindole may decrease the cardiotoxic activities of Digoxin.
Procarbazine,Digoxin,Procarbazine may decrease the cardiotoxic activities of Digoxin.
Acarbose,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Acarbose.
Sunitinib,Digoxin,Sunitinib may decrease the cardiotoxic activities of Digoxin.
Lanreotide,Digoxin,Lanreotide may decrease the cardiotoxic activities of Digoxin.
Brimonidine,Digoxin,Brimonidine may increase the bradycardic activities of Digoxin.
Imatinib,Digoxin,Imatinib may decrease the cardiotoxic activities of Digoxin.
Crizotinib,Digoxin,Crizotinib may decrease the cardiotoxic activities of Digoxin.
Mitotane,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Mitotane.
Dienogest,Digoxin,Dienogest may decrease the cardiotoxic activities of Digoxin.
Olaparib,Digoxin,Olaparib may decrease the cardiotoxic activities of Digoxin.
Rucaparib,Digoxin,Rucaparib may decrease the cardiotoxic activities of Digoxin.
Prednisolone,Digoxin,Prednisolone may decrease the cardiotoxic activities of Digoxin.
Midostaurin,Digoxin,Midostaurin may decrease the cardiotoxic activities of Digoxin.
Medroxyprogesterone acetate,Digoxin,Medroxyprogesterone acetate may decrease the cardiotoxic activities of Digoxin.
Bortezomib,Digoxin,Bortezomib may decrease the cardiotoxic activities of Digoxin.
Panobinostat,Digoxin,Panobinostat may decrease the cardiotoxic activities of Digoxin.
Betaxolol,Digoxin,Betaxolol may increase the bradycardic activities of Digoxin.
Enzalutamide,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Enzalutamide.
Abiraterone,Digoxin,Abiraterone may decrease the cardiotoxic activities of Digoxin.
Diethylstilbestrol,Digoxin,Diethylstilbestrol may decrease the cardiotoxic activities of Digoxin.
Nilotinib,Digoxin,Nilotinib may decrease the cardiotoxic activities of Digoxin.
Dexamethasone,Digoxin,Dexamethasone may decrease the cardiotoxic activities of Digoxin.
Letrozole,Digoxin,Letrozole may decrease the cardiotoxic activities of Digoxin.
Norfloxacin,Digoxin,Norfloxacin may decrease the cardiotoxic activities of Digoxin.
Miltefosine,Digoxin,Miltefosine may decrease the cardiotoxic activities of Digoxin.
Trimetrexate,Digoxin,Trimetrexate may decrease the cardiotoxic activities of Digoxin.
Amphotericin B,Digoxin,The risk or severity of adverse effects can be increased when Amphotericin B is combined with Digoxin.
Sirolimus,Digoxin,Sirolimus may decrease the cardiotoxic activities of Digoxin.
Alprenolol,Digoxin,Alprenolol may increase the bradycardic activities of Digoxin.
Timolol,Digoxin,Timolol may increase the bradycardic activities of Digoxin.
Atenolol,Digoxin,Atenolol may increase the bradycardic activities of Digoxin.
Bupranolol,Digoxin,Bupranolol may increase the bradycardic activities of Digoxin.
Celiprolol,Digoxin,Celiprolol may increase the bradycardic activities of Digoxin.
Oxprenolol,Digoxin,Oxprenolol may increase the bradycardic activities of Digoxin.
Metoprolol,Digoxin,Metoprolol may increase the bradycardic activities of Digoxin.
Bopindolol,Digoxin,Bopindolol may increase the bradycardic activities of Digoxin.
Esmolol,Digoxin,Esmolol may increase the bradycardic activities of Digoxin.
Pentostatin,Digoxin,Pentostatin may decrease the cardiotoxic activities of Digoxin.
Reserpine,Digoxin,The risk or severity of adverse effects can be increased when Reserpine is combined with Digoxin.
Thalidomide,Digoxin,Thalidomide may decrease the cardiotoxic activities of Digoxin.
Clonidine,Digoxin,Clonidine may increase the atrioventricular blocking (AV block) activities of Digoxin.
Pomalidomide,Digoxin,Pomalidomide may decrease the cardiotoxic activities of Digoxin.
Furosemide,Digoxin,The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.
Torasemide,Digoxin,The risk or severity of adverse effects can be increased when Torasemide is combined with Digoxin.
Bumetanide,Digoxin,The risk or severity of adverse effects can be increased when Bumetanide is combined with Digoxin.
Edrophonium,Digoxin,Edrophonium may increase the atrioventricular blocking (AV block) activities of Digoxin.
Cabergoline,Digoxin,Cabergoline may decrease the cardiotoxic activities of Digoxin.
Moxifloxacin,Digoxin,Moxifloxacin may decrease the cardiotoxic activities of Digoxin.
Pazopanib,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Pazopanib.
